awardee,uei,amount,piid,awarding_agency,awarding_sub_agency,awarding_office,naics,pop_city,pop_state,pop_country,action_date,start_date,end_date,description,source_url,generated_unique_award_id
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,541992951.00,75FCMC25FJ022,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,WINDSOR MILL,MD,UNITED STATES,2026-08-27,2025-02-20,2027-06-30,"THE CLOUD PRODUCTS AND TOOLS (CPT) CONTRACT IS USED TO PROVIDE CLOUD-BASED INFRASTRUCTURE FROM COMMERCIAL CLOUD SERVICE PROVIDERS (CSP) SUCH AS MICROSOFT AZURE GOVERNMENT (MAG) AND AMAZON WEB SERVICES (AWS), AS WELL AS SOFTWARE, HARDWARE, TOOLS, PROF",https://www.usaspending.gov/award/CONT_AWD_75FCMC25FJ022_7530_47QTCK18D0003_4732,CONT_AWD_75FCMC25FJ022_7530_47QTCK18D0003_4732
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,307159419.42,70RDA124FR0000005,Department of Homeland Security,Office of Procurement Operations,DEPARTMENTAL OPERATIONS ACQUISITION DIVISION I,541512 — Computer Systems Design Services,ARLINGTON,VA,UNITED STATES,2026-08-24,2023-12-31,2026-12-30,"OPERATE AND MAINTAIN THE OBIM INFRASTRUCTURE COMPONENTS AND ASSOCIATED APPLICATIONS AND OTHER FUNCTIONALITY OF THE PRODUCTION AND NON-PRODUCTION ENVIRONMENTS AND ASSOCIATED BUSINESS SYSTEMS CURRENTLY DEPLOYED WITH THE DHS DATA CENTER 1, GOVERNMENT AN",https://www.usaspending.gov/award/CONT_AWD_70RDA124FR0000005_7001_47QTCK18D0003_4732,CONT_AWD_70RDA124FR0000005_7001_47QTCK18D0003_4732
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,219302285.42,75FCMC23F0156,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,WINDSOR MILL,MD,UNITED STATES,2026-08-26,2023-09-29,2027-05-31,"HEALTHCARE INTEGRATED GENERAL LEDGER ACCOUNTING SYSTEM (HIGLAS) HOSTING, OPERATIONS & MAINTENANCE (HOM)",https://www.usaspending.gov/award/CONT_AWD_75FCMC23F0156_7530_47QTCK18D0003_4732,CONT_AWD_75FCMC23F0156_7530_47QTCK18D0003_4732
ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,202121105.74,75FCMC21F0001,Department of Health and Human Services,Centers for Medicare and Medicaid Services,OFC OF ACQUISITION AND GRANTS MGMT,541512 — Computer Systems Design Services,ARLINGTON,VA,UNITED STATES,2026-08-26,2021-01-11,2022-07-15,FEDERALLY FACILITATED MARKETPLACE (FFM) BRIDGE CONTRACT,https://www.usaspending.gov/award/CONT_AWD_75FCMC21F0001_7530_HHSM500201600003I_7530,CONT_AWD_75FCMC21F0001_7530_HHSM500201600003I_7530
"ALETHIX, LLC",F4EQF8UKA2K5,126998077.54,70SBUR21F00000121,Department of Homeland Security,U.S. Citizenship and Immigration Services,USCIS CONTRACTING OFFICE(ERBUR),541512 — Computer Systems Design Services,FAIRFAX,VA,UNITED STATES,2026-08-28,2021-07-19,2026-10-31,SERVICES FOR PRODUCT ENGINEERING AND ENTERPRISE DELIVERY (SPEED),https://www.usaspending.gov/award/CONT_AWD_70SBUR21F00000121_7003_75N98119D00009_7529,CONT_AWD_70SBUR21F00000121_7003_75N98119D00009_7529
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,110881128.98,70B04C24F00000184,Department of Homeland Security,U.S. Customs and Border Protection,INFORMATION TECHNOLOGY CONTRACTING DIVISION,541512 — Computer Systems Design Services,RESTON,VA,UNITED STATES,2026-08-27,2024-03-02,2026-04-30,IT SERVICE AND SUPPORT,https://www.usaspending.gov/award/CONT_AWD_70B04C24F00000184_7014_47QTCK18D0001_4732,CONT_AWD_70B04C24F00000184_7014_47QTCK18D0001_4732
"HIGHLIGHT TECHNOLOGIES, INC.",C2MSYQALD3E4,91798601.12,70SBUR21F00000124,Department of Homeland Security,U.S. Citizenship and Immigration Services,USCIS CONTRACTING OFFICE(ERBUR),541512 — Computer Systems Design Services,FAIRFAX,VA,UNITED STATES,2026-08-27,2021-07-19,2026-10-31,SERVICES FOR PRODUCT ENGINEERING AND ENTERPRISE DELIVERY (SPEED),https://www.usaspending.gov/award/CONT_AWD_70SBUR21F00000124_7003_75N98119D00020_7529,CONT_AWD_70SBUR21F00000124_7003_75N98119D00020_7529
"CUSTOMER VALUE PARTNERS, LLC",L6R3M86AFBB5,88387635.95,70SBUR21F00000122,Department of Homeland Security,U.S. Citizenship and Immigration Services,USCIS CONTRACTING OFFICE(ERBUR),541512 — Computer Systems Design Services,FAIRFAX,VA,UNITED STATES,2026-08-27,2021-07-19,2026-10-31,SERVICES FOR PRODUCT ENGINEERING AND ENTERPRISE DELIVERY (SPEED),https://www.usaspending.gov/award/CONT_AWD_70SBUR21F00000122_7003_HHSN316201200125W_7529,CONT_AWD_70SBUR21F00000122_7003_HHSN316201200125W_7529
"EKAGRA PARTNERS, LLC",Q1DVL2FMEYR4,75623014.54,70SBUR21F00000123,Department of Homeland Security,U.S. Citizenship and Immigration Services,USCIS CONTRACTING OFFICE(ERBUR),541512 — Computer Systems Design Services,LEESBURG,VA,UNITED STATES,2026-08-28,2021-07-19,2026-10-31,SERVICES FOR PRODUCT ENGINEERING AND ENTERPRISE DELIVERY (SPEED),https://www.usaspending.gov/award/CONT_AWD_70SBUR21F00000123_7003_HHSN316201200131W_7529,CONT_AWD_70SBUR21F00000123_7003_HHSN316201200131W_7529
ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,63236191.56,70CTD021FR0000232,Department of Homeland Security,U.S. Immigration and Customs Enforcement,INFORMATION TECHNOLOGY DIVISION,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-25,2021-09-28,2027-02-27,CYBER DEFENSE AND INTELLIGENCE SUPPORT (CDISS) TASK ORDER. 11 MONTH BASE PERIOD AND 4 OPTION YEARS.,https://www.usaspending.gov/award/CONT_AWD_70CTD021FR0000232_7012_HHSN316201200002W_7529,CONT_AWD_70CTD021FR0000232_7012_HHSN316201200002W_7529
PATRIOT LLC,LYMKSJG6DLQ5,45392124.77,70B04C20F00001438,Department of Homeland Security,U.S. Customs and Border Protection,INFORMATION TECHNOLOGY CONTRACTING DIVISION,541512 — Computer Systems Design Services,LORTON,NE,UNITED STATES,2026-08-25,2020-09-29,2026-06-15,"PROCUREMENT OF PROGRAM MANAGEMENT, CUSTOMER-FOCUSED TECHNOLOGY SERVICE DESK SUPPORT FOR TIER 1 INTERNAL AND EXTERNAL OPERATIONS, AUTOMATED COMMERCIAL ENVIRONMENT (ACE) ACCOUNT SERVICE DESK (ASD), AND ADVANCED SUPPORT OPERATIONS",https://www.usaspending.gov/award/CONT_AWD_70B04C20F00001438_7014_HHSN316201200065W_7529,CONT_AWD_70B04C20F00001438_7014_HHSN316201200065W_7529
ALPHA OMEGA INTEGRATION LLC,NF34JCA2PME3,44147081.47,70CTD020FR0000280,Department of Homeland Security,U.S. Immigration and Customs Enforcement,INFORMATION TECHNOLOGY DIVISION,541512 — Computer Systems Design Services,WASHINGTON,DC,UNITED STATES,2026-08-28,2020-09-29,2026-03-31,"ICE REQUIRES INFORMATION TECHNOLOGY PROGRAM MANAGEMENT SUPPORT (ITPMS) SERVICES TO SUPPORT THE DEPARTMENT OF HOMELAND SECURITY, IMMIGRATION AND CUSTOMS ENFORCEMENT (ICE), HOMELAND SECURITY INVESTIGATION (HSI) PORTFOLIO BRANCH.",https://www.usaspending.gov/award/CONT_AWD_70CTD020FR0000280_7012_HHSN316201200182W_7529,CONT_AWD_70CTD020FR0000280_7012_HHSN316201200182W_7529
"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,41852694.56,70B02C25F00000422,Department of Homeland Security,U.S. Customs and Border Protection,AIR AND MARINE CONTRACTING DIVISION,541512 — Computer Systems Design Services,COSTA MESA,CA,UNITED STATES,2026-08-25,2025-08-01,2027-06-30,S1 APPROVED AWARD FOR DELIVERY ORDER 18,https://www.usaspending.gov/award/CONT_AWD_70B02C25F00000422_7014_70B02C20D00000019_7014,CONT_AWD_70B02C25F00000422_7014_70B02C20D00000019_7014
DELOITTE CONSULTING LLP,CKV2L9GZKJK3,28578126.83,75N98023F00004,Department of Health and Human Services,National Institutes of Health,NATIONAL INSTITUTES OF HEALTH OLAO,541512 — Computer Systems Design Services,ALEXANDRIA,VA,UNITED STATES,2026-08-25,2023-09-15,2027-09-14,DELOITTE CONSULTING LLP:1167543 [23-003351],https://www.usaspending.gov/award/CONT_AWD_75N98023F00004_7529_HHSN316201200018W_7529,CONT_AWD_75N98023F00004_7529_HHSN316201200018W_7529
