hospital_name,cpt,description,setting,billing_class,before_last_updated_on,after_last_updated_on,before_extract_date,after_extract_date,before_gross,after_gross,before_discounted_cash,after_discounted_cash,before_aetna_commercial_negotiated_dollar,after_aetna_commercial_negotiated_dollar,before_bcbs_az_hmo_negotiated_dollar,after_bcbs_az_hmo_negotiated_dollar,before_united_healthcare_commercial_negotiated_dollar,after_united_healthcare_commercial_negotiated_dollar,cells_changed,note
Flagstaff Medical Center,90371,Hepatitis B Immune Globulin inj 5mL,outpatient,facility,2026-02-28,2026-02-28,2026-08-25,2026-08-27,5174.69,5174.69,2587.35,2587.35,4403.66,4403.66,3793.05,3793.05,4786.59,4786.59,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,90378,Palivizumab 100 mg/mL inj,outpatient,facility,2026-02-28,2026-02-28,2026-08-25,2026-08-27,26952.67,26952.67,13476.34,13476.34,22936.72,22936.72,19756.31,19756.31,24931.22,24931.22,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,90380,Nirsevimab-ALIP 50 mg/0.5 mL PF Inj,outpatient,facility,2026-02-28,2026-02-28,2026-08-25,2026-08-27,3550.11,3550.11,1775.06,1775.06,3021.14,3021.14,2602.23,2602.23,3283.85,3283.85,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,90381,Nirsevimab-ALIP 100 mg/ mL PF Inj,outpatient,facility,2026-02-28,2026-02-28,2026-08-25,2026-08-27,3730.31,3730.31,1865.16,1865.16,3174.49,3174.49,2734.32,2734.32,3450.54,3450.54,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,99213,Estab Pt Clinic Visit - Level 3,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,362.23,362.23,181.12,181.12,,,,,335.06,335.06,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,99214,Estab Pt Office Visit - Level 4,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,479.83,479.83,239.92,239.92,,,,,443.84,443.84,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,99283,99283 Level 3,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,1389.92,1389.92,694.96,694.96,,,,,1285.68,1285.68,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,99284,99284 Level 4,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,2145.05,2145.05,1072.53,1072.53,,,,,1984.17,1984.17,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,70450,CT Head w/o Contrast,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,2199.17,2199.17,1099.59,1099.59,,,,,2034.23,2034.23,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,80053,Comprehensive Metabolic Panel,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,381.16,381.16,190.58,190.58,,,,,352.57,352.57,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,36415,Collection Venous Draw,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,17,17,8.5,8.5,,,,,15.73,15.73,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
Flagstaff Medical Center,74177,CT Abdomen & Pelvis with Contrast,inpatient,facility,2026-02-28,2026-02-28,2026-08-26,2026-08-27,7011.67,7011.67,3505.84,3505.84,,,,,6485.79,6485.79,none,"SAMPLE MRF-change extract, not a patient quote or billed change. Built by Rogue, an AI agent."
